iter	Passed	Remaining
0	2	7404
1	14	21790
2	25	25261
3	35	26435
4	46	27794
5	57	28767
6	67	29034
7	80	30050
8	90	30107
9	100	30073
10	110	30140
11	121	30305
12	131	30141
13	141	30262
14	151	30067
15	160	29959
16	170	29875
17	179	29703
18	189	29704
19	198	29629
20	208	29586
21	219	29763
22	239	30975
23	254	31605
24	268	31930
25	279	31981
26	289	31889
27	299	31786
28	309	31744
29	319	31645
30	329	31599
31	338	31416
32	348	31334
33	357	31196
34	367	31150
35	377	31115
36	386	30957
37	398	31030
38	408	30976
39	417	30864
40	427	30819
41	436	30710
42	446	30715
43	455	30605
44	465	30592
45	475	30547
46	485	30473
47	494	30430
48	503	30332
49	513	30279
50	523	30271
51	532	30208
52	542	30177
53	551	30111
54	562	30117
55	573	30136
56	582	30060
57	592	30038
58	601	29965
59	611	29948
60	620	29893
61	630	29872
62	640	29855
63	649	29809
64	661	29851
65	671	29845
66	680	29770
67	690	29792
68	700	29751
69	712	29838
70	722	29811
71	731	29763
72	741	29724
73	750	29681
74	760	29657
75	770	29632
76	779	29598
77	790	29604
78	799	29567
79	809	29541
80	819	29539
81	829	29503
82	839	29488
83	848	29448
84	857	29415
85	868	29429
86	878	29398
87	887	29371
88	896	29321
89	906	29315
90	916	29283
91	926	29273
92	937	29296
93	947	29287
94	957	29288
95	969	29318
96	972	29097
97	982	29098
98	991	29053
99	1001	29041
100	1010	29006
101	1021	29033
102	1032	29027
103	1040	28986
104	1050	28977
105	1060	28941
106	1069	28924
107	1078	28893
108	1088	28880
109	1098	28867
110	1108	28843
111	1118	28841
112	1128	28821
113	1138	28829
114	1148	28818
115	1157	28780
116	1167	28763
117	1176	28730
118	1186	28720
119	1196	28712
120	1208	28751
121	1219	28769
122	1230	28793
123	1240	28771
124	1250	28757
125	1259	28736
126	1268	28700
127	1278	28689
128	1288	28676
129	1299	28686
130	1308	28649
131	1318	28649
132	1329	28652
133	1338	28619
134	1348	28609
135	1357	28580
136	1367	28576
137	1377	28564
138	1386	28532
139	1396	28534
140	1405	28507
141	1416	28505
142	1419	28368
143	1429	28359
144	1438	28332
145	1448	28317
146	1458	28303
147	1467	28287
148	1477	28271
149	1486	28245
150	1498	28277
151	1509	28288
152	1520	28285
153	1532	28326
154	1544	28358
155	1555	28352
156	1566	28362
157	1578	28389
158	1589	28406
159	1601	28420
160	1611	28424
161	1621	28406
162	1631	28398
163	1642	28402
164	1652	28398
165	1664	28424
166	1676	28442
167	1687	28452
168	1698	28447
169	1709	28458
170	1718	28426
171	1728	28420
172	1737	28398
173	1746	28372
174	1756	28362
175	1766	28340
176	1776	28337
177	1785	28307
178	1796	28310
179	1806	28299
180	1815	28273
181	1824	28256
182	1834	28231
183	1843	28215
184	1852	28193
185	1862	28176
186	1872	28166
187	1881	28140
188	1890	28123
189	1899	28098
190	1910	28096
191	1920	28085
192	1929	28061
193	1939	28056
194	1948	28030
195	1958	28021
196	1968	28011
197	1978	28002
198	1988	27995
199	1998	27972
200	2007	27957
201	2017	27943
202	2027	27932
203	2037	27918
204	2045	27894
205	2055	27884
206	2065	27866
207	2075	27856
208	2085	27843
209	2093	27817
210	2104	27814
211	2113	27789
212	2122	27774
213	2132	27757
214	2141	27743
215	2152	27739
216	2161	27726
217	2172	27722
218	2181	27706
219	2192	27710
220	2203	27703
221	2211	27678
222	2222	27678
223	2232	27669
224	2242	27657
225	2252	27643
226	2261	27625
227	2272	27625
228	2282	27617
229	2291	27602
230	2302	27598
231	2311	27578
232	2321	27566
233	2331	27557
234	2340	27540
235	2350	27528
236	2359	27511
237	2370	27505
238	2381	27506
239	2390	27496
240	2401	27492
241	2412	27499
242	2422	27486
243	2434	27493
244	2443	27481
245	2453	27467
246	2463	27458
247	2473	27449
248	2484	27448
249	2494	27439
250	2504	27433
251	2515	27431
252	2525	27417
253	2538	27446
254	2548	27437
255	2558	27427
256	2568	27413
257	2579	27409
258	2588	27397
259	2600	27405
260	2611	27404
261	2621	27398
262	2632	27396
263	2643	27392
264	2653	27383
265	2663	27379
266	2675	27382
267	2685	27375
268	2697	27383
269	2707	27378
270	2718	27373
271	2728	27365
272	2738	27357
273	2748	27348
274	2759	27348
275	2770	27347
276	2781	27340
277	2792	27342
278	2802	27331
279	2813	27330
280	2824	27327
281	2834	27321
282	2854	27402
283	2870	27448
284	2883	27473
285	2894	27467
286	2904	27457
287	2914	27448
288	2923	27428
289	2933	27416
290	2943	27398
291	2952	27379
292	2962	27366
293	2971	27350
294	2981	27342
295	2991	27328
296	3001	27320
297	3012	27314
298	3022	27304
299	3032	27295
300	3043	27289
301	3053	27277
302	3064	27273
303	3074	27265
304	3085	27262
305	3096	27258
306	3106	27247
307	3116	27237
308	3127	27234
309	3137	27221
310	3147	27218
311	3159	27217
312	3169	27205
313	3179	27200
314	3185	27156
315	3196	27151
316	3207	27145
317	3216	27130
318	3227	27124
319	3236	27107
320	3249	27118
321	3260	27116
322	3273	27132
323	3284	27128
324	3296	27130
325	3307	27130
326	3320	27141
327	3332	27147
328	3344	27155
329	3357	27167
330	3370	27178
331	3384	27201
332	3397	27211
333	3413	27245
334	3426	27254
335	3438	27263
336	3449	27256
337	3461	27263
338	3474	27270
339	3486	27274
340	3497	27269
341	3508	27269
342	3520	27268
343	3531	27267
344	3542	27262
345	3553	27260
346	3564	27253
347	3576	27258
348	3588	27256
349	3599	27249
350	3610	27246
351	3622	27248
352	3634	27251
353	3644	27242
354	3656	27239
355	3668	27245
356	3679	27244
357	3692	27247
358	3704	27249
359	3715	27246
360	3725	27234
361	3737	27234
362	3746	27217
363	3759	27225
364	3771	27225
365	3782	27223
366	3793	27213
367	3806	27224
368	3818	27226
369	3830	27228
370	3841	27222
371	3853	27220
372	3864	27218
373	3875	27212
374	3887	27211
375	3900	27217
376	3911	27215
377	3923	27213
378	3936	27220
379	3948	27222
380	3959	27215
381	3971	27219
382	3983	27218
383	3994	27214
384	4006	27210
385	4017	27206
386	4028	27202
387	4039	27192
388	4050	27184
389	4059	27170
390	4071	27170
391	4084	27173
392	4095	27166
393	4104	27150
394	4118	27160
395	4129	27153
396	4139	27144
397	4152	27144
